('BNS: 1.1 P1                   ', ['Operators:', '(1|0,0,0)'])
("BNS: 226.123 Fm-3c1'          ", ['Operators:', '(1|0,0,0)', '(4x|1/2,1/2,1/2)', '(4x-1|1/2,1/2,1/2)', '(4y|1/2,1/2,1/2)', '(4y-1|1/2,1/2,1/2)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|1/2,1/2,1/2)', '(2-xy|1/2,1/2,1/2)', '(2yz|1/2,1/2,1/2)', '(2-yz|1/2,1/2,1/2)', '(2xz|1/2,1/2,1/2)', '(2-xz|1/2,1/2,1/2)', '(3xyz|0,0,0)', '(3xyz-1|0,0,0)', '(3-xyz|0,0,0)', '(3-xyz-1|0,0,0)', '(3x-yz|0,0,0)', '(3x-yz-1|0,0,0)', '(3xy-z|0,0,0)', '(3xy-z-1|0,0,0)', '(-1|0,0,0)', '(-4x|1/2,1/2,1/2)', '(-4x-1|1/2,1/2,1/2)', '(-4y|1/2,1/2,1/2)', '(-4y-1|1/2,1/2,1/2)', '(-4z|1/2,1/2,1/2)', '(-4z-1|1/2,1/2,1/2)', '(mx|0,0,0)', '(my|0,0,0)', '(mz|0,0,0)', '(mxy|1/2,1/2,1/2)', '(m-xy|1/2,1/2,1/2)', '(myz|1/2,1/2,1/2)', '(m-yz|1/2,1/2,1/2)', '(mxz|1/2,1/2,1/2)', '(m-xz|1/2,1/2,1/2)', '(-3xyz|0,0,0)', '(-3xyz-1|0,0,0)', '(-3-xyz|0,0,0)', '(-3-xyz-1|0,0,0)', '(-3x-yz|0,0,0)', '(-3x-yz-1|0,0,0)', '(-3xy-z|0,0,0)', '(-3xy-z-1|0,0,0)', "(1|0,0,0)'", "(4x|1/2,1/2,1/2)'", "(4x-1|1/2,1/2,1/2)'", "(4y|1/2,1/2,1/2)'", "(4y-1|1/2,1/2,1/2)'", "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", "(2x|0,0,0)'", "(2y|0,0,0)'", "(2z|0,0,0)'", "(2xy|1/2,1/2,1/2)'", "(2-xy|1/2,1/2,1/2)'", "(2yz|1/2,1/2,1/2)'", "(2-yz|1/2,1/2,1/2)'", "(2xz|1/2,1/2,1/2)'", "(2-xz|1/2,1/2,1/2)'", "(3xyz|0,0,0)'", "(3xyz-1|0,0,0)'", "(3-xyz|0,0,0)'", "(3-xyz-1|0,0,0)'", "(3x-yz|0,0,0)'", "(3x-yz-1|0,0,0)'", "(3xy-z|0,0,0)'", "(3xy-z-1|0,0,0)'", "(-1|0,0,0)'", "(-4x|1/2,1/2,1/2)'", "(-4x-1|1/2,1/2,1/2)'", "(-4y|1/2,1/2,1/2)'", "(-4y-1|1/2,1/2,1/2)'", "(-4z|1/2,1/2,1/2)'", "(-4z-1|1/2,1/2,1/2)'", "(mx|0,0,0)'", "(my|0,0,0)'", "(mz|0,0,0)'", "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'", "(myz|1/2,1/2,1/2)'", "(m-yz|1/2,1/2,1/2)'", "(mxz|1/2,1/2,1/2)'", "(m-xz|1/2,1/2,1/2)'", "(-3xyz|0,0,0)'", "(-3xyz-1|0,0,0)'", "(-3-xyz|0,0,0)'", "(-3-xyz-1|0,0,0)'", "(-3x-yz|0,0,0)'", "(-3x-yz-1|0,0,0)'", "(-3xy-z|0,0,0)'", "(-3xy-z-1|0,0,0)'"])
("BNS: 226.124 Fm'-3'c          ", ['Operators:', '(1|0,0,0)', "(4x|1/2,1/2,1/2)'", "(4x-1|1/2,1/2,1/2)'", "(4y|1/2,1/2,1/2)'", "(4y-1|1/2,1/2,1/2)'", "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(2xy|1/2,1/2,1/2)'", "(2-xy|1/2,1/2,1/2)'", "(2yz|1/2,1/2,1/2)'", "(2-yz|1/2,1/2,1/2)'", "(2xz|1/2,1/2,1/2)'", "(2-xz|1/2,1/2,1/2)'", '(3xyz|0,0,0)', '(3xyz-1|0,0,0)', '(3-xyz|0,0,0)', '(3-xyz-1|0,0,0)', '(3x-yz|0,0,0)', '(3x-yz-1|0,0,0)', '(3xy-z|0,0,0)', '(3xy-z-1|0,0,0)', "(-1|0,0,0)'", '(-4x|1/2,1/2,1/2)', '(-4x-1|1/2,1/2,1/2)', '(-4y|1/2,1/2,1/2)', '(-4y-1|1/2,1/2,1/2)', '(-4z|1/2,1/2,1/2)', '(-4z-1|1/2,1/2,1/2)', "(mx|0,0,0)'", "(my|0,0,0)'", "(mz|0,0,0)'", '(mxy|1/2,1/2,1/2)', '(m-xy|1/2,1/2,1/2)', '(myz|1/2,1/2,1/2)', '(m-yz|1/2,1/2,1/2)', '(mxz|1/2,1/2,1/2)', '(m-xz|1/2,1/2,1/2)', "(-3xyz|0,0,0)'", "(-3xyz-1|0,0,0)'", "(-3-xyz|0,0,0)'", "(-3-xyz-1|0,0,0)'", "(-3x-yz|0,0,0)'", "(-3x-yz-1|0,0,0)'", "(-3xy-z|0,0,0)'", "(-3xy-z-1|0,0,0)'"])
("BNS: 226.125 Fm-3c'           ", ['Operators:', '(1|0,0,0)', "(4x|1/2,1/2,1/2)'", "(4x-1|1/2,1/2,1/2)'", "(4y|1/2,1/2,1/2)'", "(4y-1|1/2,1/2,1/2)'", "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(2xy|1/2,1/2,1/2)'", "(2-xy|1/2,1/2,1/2)'", "(2yz|1/2,1/2,1/2)'", "(2-yz|1/2,1/2,1/2)'", "(2xz|1/2,1/2,1/2)'", "(2-xz|1/2,1/2,1/2)'", '(3xyz|0,0,0)', '(3xyz-1|0,0,0)', '(3-xyz|0,0,0)', '(3-xyz-1|0,0,0)', '(3x-yz|0,0,0)', '(3x-yz-1|0,0,0)', '(3xy-z|0,0,0)', '(3xy-z-1|0,0,0)', '(-1|0,0,0)', "(-4x|1/2,1/2,1/2)'", "(-4x-1|1/2,1/2,1/2)'", "(-4y|1/2,1/2,1/2)'", "(-4y-1|1/2,1/2,1/2)'", "(-4z|1/2,1/2,1/2)'", "(-4z-1|1/2,1/2,1/2)'", '(mx|0,0,0)', '(my|0,0,0)', '(mz|0,0,0)', "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'", "(myz|1/2,1/2,1/2)'", "(m-yz|1/2,1/2,1/2)'", "(mxz|1/2,1/2,1/2)'", "(m-xz|1/2,1/2,1/2)'", '(-3xyz|0,0,0)', '(-3xyz-1|0,0,0)', '(-3-xyz|0,0,0)', '(-3-xyz-1|0,0,0)', '(-3x-yz|0,0,0)', '(-3x-yz-1|0,0,0)', '(-3xy-z|0,0,0)', '(-3xy-z-1|0,0,0)'])
("BNS: 226.126 Fm'-3'c'         ", ['Operators:', '(1|0,0,0)', '(4x|1/2,1/2,1/2)', '(4x-1|1/2,1/2,1/2)', '(4y|1/2,1/2,1/2)', '(4y-1|1/2,1/2,1/2)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|1/2,1/2,1/2)', '(2-xy|1/2,1/2,1/2)', '(2yz|1/2,1/2,1/2)', '(2-yz|1/2,1/2,1/2)', '(2xz|1/2,1/2,1/2)', '(2-xz|1/2,1/2,1/2)', '(3xyz|0,0,0)', '(3xyz-1|0,0,0)', '(3-xyz|0,0,0)', '(3-xyz-1|0,0,0)', '(3x-yz|0,0,0)', '(3x-yz-1|0,0,0)', '(3xy-z|0,0,0)', '(3xy-z-1|0,0,0)', "(-1|0,0,0)'", "(-4x|1/2,1/2,1/2)'", "(-4x-1|1/2,1/2,1/2)'", "(-4y|1/2,1/2,1/2)'", "(-4y-1|1/2,1/2,1/2)'", "(-4z|1/2,1/2,1/2)'", "(-4z-1|1/2,1/2,1/2)'", "(mx|0,0,0)'", "(my|0,0,0)'", "(mz|0,0,0)'", "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'", "(myz|1/2,1/2,1/2)'", "(m-yz|1/2,1/2,1/2)'", "(mxz|1/2,1/2,1/2)'", "(m-xz|1/2,1/2,1/2)'", "(-3xyz|0,0,0)'", "(-3xyz-1|0,0,0)'", "(-3-xyz|0,0,0)'", "(-3-xyz-1|0,0,0)'", "(-3x-yz|0,0,0)'", "(-3x-yz-1|0,0,0)'", "(-3xy-z|0,0,0)'", "(-3xy-z-1|0,0,0)'"])
('BNS: 226.127 F_Sm-3c          ', ['Operators', '(BNS):', '(1|0,0,0)', '(4x|1/2,1/2,1/2)', '(4x-1|1/2,1/2,1/2)', '(4y|1/2,1/2,1/2)', '(4y-1|1/2,1/2,1/2)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|1/2,1/2,1/2)', '(2-xy|1/2,1/2,1/2)', '(2yz|1/2,1/2,1/2)', '(2-yz|1/2,1/2,1/2)', '(2xz|1/2,1/2,1/2)', '(2-xz|1/2,1/2,1/2)', '(3xyz|0,0,0)', '(3xyz-1|0,0,0)', '(3-xyz|0,0,0)', '(3-xyz-1|0,0,0)', '(3x-yz|0,0,0)', '(3x-yz-1|0,0,0)', '(3xy-z|0,0,0)', '(3xy-z-1|0,0,0)', '(-1|0,0,0)', '(-4x|1/2,1/2,1/2)', '(-4x-1|1/2,1/2,1/2)', '(-4y|1/2,1/2,1/2)', '(-4y-1|1/2,1/2,1/2)', '(-4z|1/2,1/2,1/2)', '(-4z-1|1/2,1/2,1/2)', '(mx|0,0,0)', '(my|0,0,0)', '(mz|0,0,0)', '(mxy|1/2,1/2,1/2)', '(m-xy|1/2,1/2,1/2)', '(myz|1/2,1/2,1/2)', '(m-yz|1/2,1/2,1/2)', '(mxz|1/2,1/2,1/2)', '(m-xz|1/2,1/2,1/2)', '(-3xyz|0,0,0)', '(-3xyz-1|0,0,0)', '(-3-xyz|0,0,0)', '(-3-xyz-1|0,0,0)', '(-3x-yz|0,0,0)', '(-3x-yz-1|0,0,0)', '(-3xy-z|0,0,0)', '(-3xy-z-1|0,0,0)', "(1|0,0,1/2)'", "(4x|0,0,0)'", "(4x-1|0,0,0)'", "(4y|0,0,0)'", "(4y-1|0,0,0)'", "(4z|0,0,0)'", "(4z-1|0,0,0)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", "(2z|1/2,1/2,1/2)'", "(2xy|0,0,0)'", "(2-xy|0,0,0)'", "(2yz|0,0,0)'", "(2-yz|0,0,0)'", "(2xz|0,0,0)'", "(2-xz|0,0,0)'", "(3xyz|1/2,1/2,1/2)'", "(3xyz-1|1/2,1/2,1/2)'", "(3-xyz|1/2,1/2,1/2)'", "(3-xyz-1|1/2,1/2,1/2)'", "(3x-yz|1/2,1/2,1/2)'", "(3x-yz-1|1/2,1/2,1/2)'", "(3xy-z|1/2,1/2,1/2)'", "(3xy-z-1|1/2,1/2,1/2)'", "(-1|1/2,1/2,1/2)'", "(-4x|0,0,0)'", "(-4x-1|0,0,0)'", "(-4y|0,0,0)'", "(-4y-1|0,0,0)'", "(-4z|0,0,0)'", "(-4z-1|0,0,0)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", "(mz|1/2,1/2,1/2)'", "(mxy|0,0,0)'", "(m-xy|0,0,0)'", "(myz|0,0,0)'", "(m-yz|0,0,0)'", "(mxz|0,0,0)'", "(m-xz|0,0,0)'", "(-3xyz|1/2,1/2,1/2)'", "(-3xyz-1|1/2,1/2,1/2)'", "(-3-xyz|1/2,1/2,1/2)'", "(-3-xyz-1|1/2,1/2,1/2)'", "(-3x-yz|1/2,1/2,1/2)'", "(-3x-yz-1|1/2,1/2,1/2)'", "(-3xy-z|1/2,1/2,1/2)'", "(-3xy-z-1|1/2,1/2,1/2)'"])
('BNS: 227.128 Fd-3m            ', ['Operators:', '(1|0,0,0)', '(4x|1/4,0,1/4)', '(4x-1|1/4,1/4,0)', '(4y|1/4,1/4,0)', '(4y-1|0,1/4,1/4)', '(4z|0,1/4,1/4)', '(4z-1|1/4,0,1/4)', '(2x|0,1/4,1/4)', '(2y|1/4,0,1/4)', '(2z|1/4,1/4,0)', '(2xy|1/4,1/4,0)', '(2-xy|0,0,0)', '(2yz|0,1/4,1/4)', '(2-yz|0,0,0)', '(2xz|1/4,0,1/4)', '(2-xz|0,0,0)', '(3xyz|0,0,0)', '(3xyz-1|0,0,0)', '(3-xyz|1/4,0,1/4)', '(3-xyz-1|1/4,1/4,0)', '(3x-yz|1/4,1/4,0)', '(3x-yz-1|0,1/4,1/4)', '(3xy-z|0,1/4,1/4)', '(3xy-z-1|1/4,0,1/4)', '(-1|0,0,0)', '(-4x|1/4,0,1/4)', '(-4x-1|1/4,1/4,0)', '(-4y|1/4,1/4,0)', '(-4y-1|0,1/4,1/4)', '(-4z|0,1/4,1/4)', '(-4z-1|1/4,0,1/4)', '(mx|0,1/4,1/4)', '(my|1/4,0,1/4)', '(mz|1/4,1/4,0)', '(mxy|1/4,1/4,0)', '(m-xy|0,0,0)', '(myz|0,1/4,1/4)', '(m-yz|0,0,0)', '(mxz|1/4,0,1/4)', '(m-xz|0,0,0)', '(-3xyz|0,0,0)', '(-3xyz-1|0,0,0)', '(-3-xyz|1/4,0,1/4)', '(-3-xyz-1|1/4,1/4,0)', '(-3x-yz|1/4,1/4,0)', '(-3x-yz-1|0,1/4,1/4)', '(-3xy-z|0,1/4,1/4)', '(-3xy-z-1|1/4,0,1/4)'])
("BNS: 227.129 Fd-3m1'          ", ['Operators:', '(1|0,0,0)', '(4x|1/4,0,1/4)', '(4x-1|1/4,1/4,0)', '(4y|1/4,1/4,0)', '(4y-1|0,1/4,1/4)', '(4z|0,1/4,1/4)', '(4z-1|1/4,0,1/4)', '(2x|0,1/4,1/4)', '(2y|1/4,0,1/4)', '(2z|1/4,1/4,0)', '(2xy|1/4,1/4,0)', '(2-xy|0,0,0)', '(2yz|0,1/4,1/4)', '(2-yz|0,0,0)', '(2xz|1/4,0,1/4)', '(2-xz|0,0,0)', '(3xyz|0,0,0)', '(3xyz-1|0,0,0)', '(3-xyz|1/4,0,1/4)', '(3-xyz-1|1/4,1/4,0)', '(3x-yz|1/4,1/4,0)', '(3x-yz-1|0,1/4,1/4)', '(3xy-z|0,1/4,1/4)', '(3xy-z-1|1/4,0,1/4)', '(-1|0,0,0)', '(-4x|1/4,0,1/4)', '(-4x-1|1/4,1/4,0)', '(-4y|1/4,1/4,0)', '(-4y-1|0,1/4,1/4)', '(-4z|0,1/4,1/4)', '(-4z-1|1/4,0,1/4)', '(mx|0,1/4,1/4)', '(my|1/4,0,1/4)', '(mz|1/4,1/4,0)', '(mxy|1/4,1/4,0)', '(m-xy|0,0,0)', '(myz|0,1/4,1/4)', '(m-yz|0,0,0)', '(mxz|1/4,0,1/4)', '(m-xz|0,0,0)', '(-3xyz|0,0,0)', '(-3xyz-1|0,0,0)', '(-3-xyz|1/4,0,1/4)', '(-3-xyz-1|1/4,1/4,0)', '(-3x-yz|1/4,1/4,0)', '(-3x-yz-1|0,1/4,1/4)', '(-3xy-z|0,1/4,1/4)', '(-3xy-z-1|1/4,0,1/4)', "(1|0,0,0)'", "(4x|1/4,0,1/4)'", "(4x-1|1/4,1/4,0)'", "(4y|1/4,1/4,0)'", "(4y-1|0,1/4,1/4)'", "(4z|0,1/4,1/4)'", "(4z-1|1/4,0,1/4)'", "(2x|0,1/4,1/4)'", "(2y|1/4,0,1/4)'", "(2z|1/4,1/4,0)'", "(2xy|1/4,1/4,0)'", "(2-xy|0,0,0)'", "(2yz|0,1/4,1/4)'", "(2-yz|0,0,0)'", "(2xz|1/4,0,1/4)'", "(2-xz|0,0,0)'", "(3xyz|0,0,0)'", "(3xyz-1|0,0,0)'", "(3-xyz|1/4,0,1/4)'", "(3-xyz-1|1/4,1/4,0)'", "(3x-yz|1/4,1/4,0)'", "(3x-yz-1|0,1/4,1/4)'", "(3xy-z|0,1/4,1/4)'", "(3xy-z-1|1/4,0,1/4)'", "(-1|0,0,0)'", "(-4x|1/4,0,1/4)'", "(-4x-1|1/4,1/4,0)'", "(-4y|1/4,1/4,0)'", "(-4y-1|0,1/4,1/4)'", "(-4z|0,1/4,1/4)'", "(-4z-1|1/4,0,1/4)'", "(mx|0,1/4,1/4)'", "(my|1/4,0,1/4)'", "(mz|1/4,1/4,0)'", "(mxy|1/4,1/4,0)'", "(m-xy|0,0,0)'", "(myz|0,1/4,1/4)'", "(m-yz|0,0,0)'", "(mxz|1/4,0,1/4)'", "(m-xz|0,0,0)'", "(-3xyz|0,0,0)'", "(-3xyz-1|0,0,0)'", "(-3-xyz|1/4,0,1/4)'", "(-3-xyz-1|1/4,1/4,0)'", "(-3x-yz|1/4,1/4,0)'", "(-3x-yz-1|0,1/4,1/4)'", "(-3xy-z|0,1/4,1/4)'", "(-3xy-z-1|1/4,0,1/4)'"])
("BNS: 227.130 Fd'-3'm          ", ['Operators:', '(1|0,0,0)', "(4x|1/4,0,1/4)'", "(4x-1|1/4,1/4,0)'", "(4y|1/4,1/4,0)'", "(4y-1|0,1/4,1/4)'", "(4z|0,1/4,1/4)'", "(4z-1|1/4,0,1/4)'", '(2x|0,1/4,1/4)', '(2y|1/4,0,1/4)', '(2z|1/4,1/4,0)', "(2xy|1/4,1/4,0)'", "(2-xy|0,0,0)'", "(2yz|0,1/4,1/4)'", "(2-yz|0,0,0)'", "(2xz|1/4,0,1/4)'", "(2-xz|0,0,0)'", '(3xyz|0,0,0)', '(3xyz-1|0,0,0)', '(3-xyz|1/4,0,1/4)', '(3-xyz-1|1/4,1/4,0)', '(3x-yz|1/4,1/4,0)', '(3x-yz-1|0,1/4,1/4)', '(3xy-z|0,1/4,1/4)', '(3xy-z-1|1/4,0,1/4)', "(-1|0,0,0)'", '(-4x|1/4,0,1/4)', '(-4x-1|1/4,1/4,0)', '(-4y|1/4,1/4,0)', '(-4y-1|0,1/4,1/4)', '(-4z|0,1/4,1/4)', '(-4z-1|1/4,0,1/4)', "(mx|0,1/4,1/4)'", "(my|1/4,0,1/4)'", "(mz|1/4,1/4,0)'", '(mxy|1/4,1/4,0)', '(m-xy|0,0,0)', '(myz|0,1/4,1/4)', '(m-yz|0,0,0)', '(mxz|1/4,0,1/4)', '(m-xz|0,0,0)', "(-3xyz|0,0,0)'", "(-3xyz-1|0,0,0)'", "(-3-xyz|1/4,0,1/4)'", "(-3-xyz-1|1/4,1/4,0)'", "(-3x-yz|1/4,1/4,0)'", "(-3x-yz-1|0,1/4,1/4)'", "(-3xy-z|0,1/4,1/4)'", "(-3xy-z-1|1/4,0,1/4)'"])
("BNS: 227.131 Fd-3m'           ", ['Operators:', '(1|0,0,0)', "(4x|1/4,0,1/4)'", "(4x-1|1/4,1/4,0)'", "(4y|1/4,1/4,0)'", "(4y-1|0,1/4,1/4)'", "(4z|0,1/4,1/4)'", "(4z-1|1/4,0,1/4)'", '(2x|0,1/4,1/4)', '(2y|1/4,0,1/4)', '(2z|1/4,1/4,0)', "(2xy|1/4,1/4,0)'", "(2-xy|0,0,0)'", "(2yz|0,1/4,1/4)'", "(2-yz|0,0,0)'", "(2xz|1/4,0,1/4)'", "(2-xz|0,0,0)'", '(3xyz|0,0,0)', '(3xyz-1|0,0,0)', '(3-xyz|1/4,0,1/4)', '(3-xyz-1|1/4,1/4,0)', '(3x-yz|1/4,1/4,0)', '(3x-yz-1|0,1/4,1/4)', '(3xy-z|0,1/4,1/4)', '(3xy-z-1|1/4,0,1/4)', '(-1|0,0,0)', "(-4x|1/4,0,1/4)'", "(-4x-1|1/4,1/4,0)'", "(-4y|1/4,1/4,0)'", "(-4y-1|0,1/4,1/4)'", "(-4z|0,1/4,1/4)'", "(-4z-1|1/4,0,1/4)'", '(mx|0,1/4,1/4)', '(my|1/4,0,1/4)', '(mz|1/4,1/4,0)', "(mxy|1/4,1/4,0)'", "(m-xy|0,0,0)'", "(myz|0,1/4,1/4)'", "(m-yz|0,0,0)'", "(mxz|1/4,0,1/4)'", "(m-xz|0,0,0)'", '(-3xyz|0,0,0)', '(-3xyz-1|0,0,0)', '(-3-xyz|1/4,0,1/4)', '(-3-xyz-1|1/4,1/4,0)', '(-3x-yz|1/4,1/4,0)', '(-3x-yz-1|0,1/4,1/4)', '(-3xy-z|0,1/4,1/4)', '(-3xy-z-1|1/4,0,1/4)'])
("BNS: 227.132 Fd'-3'm'         ", ['Operators:', '(1|0,0,0)', '(4x|1/4,0,1/4)', '(4x-1|1/4,1/4,0)', '(4y|1/4,1/4,0)', '(4y-1|0,1/4,1/4)', '(4z|0,1/4,1/4)', '(4z-1|1/4,0,1/4)', '(2x|0,1/4,1/4)', '(2y|1/4,0,1/4)', '(2z|1/4,1/4,0)', '(2xy|1/4,1/4,0)', '(2-xy|0,0,0)', '(2yz|0,1/4,1/4)', '(2-yz|0,0,0)', '(2xz|1/4,0,1/4)', '(2-xz|0,0,0)', '(3xyz|0,0,0)', '(3xyz-1|0,0,0)', '(3-xyz|1/4,0,1/4)', '(3-xyz-1|1/4,1/4,0)', '(3x-yz|1/4,1/4,0)', '(3x-yz-1|0,1/4,1/4)', '(3xy-z|0,1/4,1/4)', '(3xy-z-1|1/4,0,1/4)', "(-1|0,0,0)'", "(-4x|1/4,0,1/4)'", "(-4x-1|1/4,1/4,0)'", "(-4y|1/4,1/4,0)'", "(-4y-1|0,1/4,1/4)'", "(-4z|0,1/4,1/4)'", "(-4z-1|1/4,0,1/4)'", "(mx|0,1/4,1/4)'", "(my|1/4,0,1/4)'", "(mz|1/4,1/4,0)'", "(mxy|1/4,1/4,0)'", "(m-xy|0,0,0)'", "(myz|0,1/4,1/4)'", "(m-yz|0,0,0)'", "(mxz|1/4,0,1/4)'", "(m-xz|0,0,0)'", "(-3xyz|0,0,0)'", "(-3xyz-1|0,0,0)'", "(-3-xyz|1/4,0,1/4)'", "(-3-xyz-1|1/4,1/4,0)'", "(-3x-yz|1/4,1/4,0)'", "(-3x-yz-1|0,1/4,1/4)'", "(-3xy-z|0,1/4,1/4)'", "(-3xy-z-1|1/4,0,1/4)'"])
('BNS: 227.133 F_Sd-3m          ', ['Operators', '(BNS):', '(1|0,0,0)', '(4x|1/4,0,1/4)', '(4x-1|1/4,1/4,0)', '(4y|1/4,1/4,0)', '(4y-1|0,1/4,1/4)', '(4z|0,1/4,1/4)', '(4z-1|1/4,0,1/4)', '(2x|0,1/4,1/4)', '(2y|1/4,0,1/4)', '(2z|1/4,1/4,0)', '(2xy|1/4,1/4,0)', '(2-xy|0,0,0)', '(2yz|0,1/4,1/4)', '(2-yz|0,0,0)', '(2xz|1/4,0,1/4)', '(2-xz|0,0,0)', '(3xyz|0,0,0)', '(3xyz-1|0,0,0)', '(3-xyz|1/4,0,1/4)', '(3-xyz-1|1/4,1/4,0)', '(3x-yz|1/4,1/4,0)', '(3x-yz-1|0,1/4,1/4)', '(3xy-z|0,1/4,1/4)', '(3xy-z-1|1/4,0,1/4)', '(-1|0,0,0)', '(-4x|1/4,0,1/4)', '(-4x-1|1/4,1/4,0)', '(-4y|1/4,1/4,0)', '(-4y-1|0,1/4,1/4)', '(-4z|0,1/4,1/4)', '(-4z-1|1/4,0,1/4)', '(mx|0,1/4,1/4)', '(my|1/4,0,1/4)', '(mz|1/4,1/4,0)', '(mxy|1/4,1/4,0)', '(m-xy|0,0,0)', '(myz|0,1/4,1/4)', '(m-yz|0,0,0)', '(mxz|1/4,0,1/4)', '(m-xz|0,0,0)', '(-3xyz|0,0,0)', '(-3xyz-1|0,0,0)', '(-3-xyz|1/4,0,1/4)', '(-3-xyz-1|1/4,1/4,0)', '(-3x-yz|1/4,1/4,0)', '(-3x-yz-1|0,1/4,1/4)', '(-3xy-z|0,1/4,1/4)', '(-3xy-z-1|1/4,0,1/4)', "(1|0,0,1/2)'", "(4x|1/4,1/2,1/4)'", "(4x-1|1/4,1/4,1/2)'", "(4y|1/4,1/4,1/2)'", "(4y-1|1/2,1/4,1/4)'", "(4z|1/2,1/4,1/4)'", "(4z-1|1/4,1/2,1/4)'", "(2x|1/2,1/4,1/4)'", "(2y|1/4,1/2,1/4)'", "(2z|1/4,1/4,1/2)'", "(2xy|1/4,1/4,1/2)'", "(2-xy|1/2,1/2,1/2)'", "(2yz|1/2,1/4,1/4)'", "(2-yz|1/2,1/2,1/2)'", "(2xz|1/4,1/2,1/4)'", "(2-xz|1/2,1/2,1/2)'", "(3xyz|1/2,1/2,1/2)'", "(3xyz-1|1/2,1/2,1/2)'", "(3-xyz|1/4,1/2,1/4)'", "(3-xyz-1|1/4,1/4,1/2)'", "(3x-yz|1/4,1/4,1/2)'", "(3x-yz-1|1/2,1/4,1/4)'", "(3xy-z|1/2,1/4,1/4)'", "(3xy-z-1|1/4,1/2,1/4)'", "(-1|1/2,1/2,1/2)'", "(-4x|1/4,1/2,1/4)'", "(-4x-1|1/4,1/4,1/2)'", "(-4y|1/4,1/4,1/2)'", "(-4y-1|1/2,1/4,1/4)'", "(-4z|1/2,1/4,1/4)'", "(-4z-1|1/4,1/2,1/4)'", "(mx|1/2,1/4,1/4)'", "(my|1/4,1/2,1/4)'", "(mz|1/4,1/4,1/2)'", "(mxy|1/4,1/4,1/2)'", "(m-xy|1/2,1/2,1/2)'", "(myz|1/2,1/4,1/4)'", "(m-yz|1/2,1/2,1/2)'", "(mxz|1/4,1/2,1/4)'", "(m-xz|1/2,1/2,1/2)'", "(-3xyz|1/2,1/2,1/2)'", "(-3xyz-1|1/2,1/2,1/2)'", "(-3-xyz|1/4,1/2,1/4)'", "(-3-xyz-1|1/4,1/4,1/2)'", "(-3x-yz|1/4,1/4,1/2)'", "(-3x-yz-1|1/2,1/4,1/4)'", "(-3xy-z|1/2,1/4,1/4)'", "(-3xy-z-1|1/4,1/2,1/4)'"])
